mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
684.64,2625912,212.020054,212.020060,0.006,0.029,C8 H6 N O6     ,8,6,1,6,0,
650.05,3373447,212.038648,212.038688,0.039,0.186,C9 H10 N O3 S  ,9,10,1,3,1,
140.49,15123350,212.056431,212.056446,0.015,0.069,C9 H10 N O5    ,9,10,1,5,0,
-1000.00,6590389,212.092825,212.092832,0.006,0.029,C10 H14 N O4   ,10,14,1,4,0,
-1000.00,2437566,212.104147,212.104065,-0.082,-0.386,C9 H14 N3 O3   ,9,14,3,3,0,
-1000.00,2057891,212.986231,212.986318,0.087,0.408,C8 H5 O5 S     ,8,5,0,5,1,
-1000.00,10763969,213.022702,213.022703,0.001,0.006,C9 H9 O4 S     ,9,9,0,4,1,
-1000.00,10266320,213.040437,213.040462,0.025,0.117,C9 H9 O6       ,9,9,0,6,0,
8.96,24807152,213.076822,213.076847,0.025,0.116,C10 H13 O5     ,10,13,0,5,0,
758.08,2657017,213.088018,213.088080,0.063,0.295,C9 H13 N2 O4   ,9,13,2,4,0,
-1000.00,10723086,213.113236,213.113233,-0.003,-0.015,C11 H17 O4     ,11,17,0,4,0,
-1000.00,2576905,214.017921,214.017952,0.031,0.145,C8 H8 N O4 S   ,8,8,1,4,1,
664.44,4113960,214.054332,214.054338,0.006,0.028,C9 H12 N O3 S  ,9,12,1,3,1,
114.92,10979895,214.072095,214.072096,0.001,0.004,C9 H12 N O5    ,9,12,1,5,0,
654.01,4503108,214.087377,214.087352,-0.025,-0.116,C13 H12 N O2   ,13,12,1,2,0,
-1000.00,2860118,214.108554,214.108482,-0.073,-0.340,C10 H16 N O4   ,10,16,1,4,0,
-1000.00,6742348,215.001943,215.001968,0.025,0.115,C8 H7 O5 S     ,8,7,0,5,1,
127.97,11392362,215.038347,215.038353,0.006,0.028,C9 H11 O4 S    ,9,11,0,4,1,
127.02,13755769,215.056110,215.056112,0.002,0.010,C9 H11 O6      ,9,11,0,6,0,
-1000.00,17182104,215.092488,215.092497,0.009,0.041,C10 H15 O5     ,10,15,0,5,0,
-1000.00,3896759,215.128883,215.128883,-0.000,-0.001,C11 H19 O4     ,11,19,0,4,0,
224.71,6640826,216.033628,216.033602,-0.026,-0.120,C8 H10 N O4 S  ,8,10,1,4,1,
649.47,2525398,216.066654,216.066617,-0.037,-0.173,C12 H10 N O3   ,12,10,1,3,0,
218.83,5535976,216.087718,216.087746,0.028,0.128,C9 H14 N O5    ,9,14,1,5,0,
57.76,11742211,217.017600,217.017618,0.018,0.085,C8 H9 O5 S     ,8,9,0,5,1,
739.34,2098716,217.046818,217.046610,-0.208,-0.959,C7 H9 N2 O6    ,7,9,2,6,0,
345.44,3930656,217.050607,217.050632,0.025,0.115,C12 H9 O4      ,12,9,0,4,0,
236.64,5248035,217.054034,217.054003,-0.031,-0.141,C9 H13 O4 S    ,9,13,0,4,1,
214.86,8793138,217.071751,217.071762,0.010,0.048,C9 H13 O6      ,9,13,0,6,0,
-1000.00,5753937,217.108141,217.108147,0.006,0.027,C10 H17 O5     ,10,17,0,5,0,
518.83,2294116,218.024940,218.024752,-0.188,-0.864,C14 H4 N O2    ,14,4,1,2,0,
299.31,3654006,218.045855,218.045881,0.027,0.123,C11 H8 N O4    ,11,8,1,4,0,
455.07,2666361,218.049288,218.049252,-0.036,-0.164,C8 H12 N O4 S  ,8,12,1,4,1,
541.79,3838357,218.082269,218.082267,-0.002,-0.008,C12 H12 N O3   ,12,12,1,3,0,
-1000.00,3256518,219.029884,219.029897,0.013,0.058,C11 H7 O5      ,11,7,0,5,0,
250.89,10310345,219.033288,219.033268,-0.020,-0.089,C8 H11 O5 S    ,8,11,0,5,1,
726.89,2560208,219.041214,219.041130,-0.083,-0.381,C10 H7 N2 O4   ,10,7,2,4,0,
246.50,8018662,219.066315,219.066282,-0.032,-0.148,C12 H11 O4     ,12,11,0,4,0,
563.99,2715881,219.069691,219.069654,-0.037,-0.170,C9 H15 O4 S    ,9,15,0,4,1,
287.20,5915384,219.087367,219.087412,0.044,0.202,C9 H15 O6      ,9,15,0,6,0,
231.60,4008197,219.102620,219.102668,0.048,0.219,C13 H15 O3     ,13,15,0,3,0,
585.97,2438691,220.025124,220.025146,0.022,0.098,C10 H6 N O5    ,10,6,1,5,0,
155.54,8574530,220.061515,220.061531,0.016,0.074,C11 H10 N O4   ,11,10,1,4,0,
-1000.00,4336226,220.097946,220.097917,-0.029,-0.133,C12 H14 N O3   ,12,14,1,3,0,
-1000.00,2285249,220.207286,220.207073,-0.212,-0.965,C15 H26 N      ,15,26,1,0,0,
554.70,2300777,220.991298,220.991403,0.105,0.477,C10 H5 O4 S    ,10,5,0,4,1,
355.76,2941305,221.009193,221.009161,-0.031,-0.141,C10 H5 O6      ,10,5,0,6,0,
658.91,2098819,221.020341,221.020395,0.054,0.243,C9 H5 N2 O5    ,9,5,2,5,0,
64.71,11069848,221.045557,221.045547,-0.010,-0.045,C11 H9 O5      ,11,9,0,5,0,
170.55,9933211,221.048951,221.048918,-0.033,-0.151,C8 H13 O5 S    ,8,13,0,5,1,
725.69,4258210,221.056781,221.056780,-0.000,-0.001,C10 H9 N2 O4   ,10,9,2,4,0,
24.37,12140984,221.081914,221.081932,0.019,0.085,C12 H13 O4     ,12,13,0,4,0,
-1000.00,4875736,221.118305,221.118318,0.013,0.059,C13 H17 O3     ,13,17,0,3,0,
584.98,2606050,221.129557,221.129551,-0.005,-0.025,C12 H17 N2 O2  ,12,17,2,2,0,
382.36,2600696,221.154704,221.154703,-0.001,-0.003,C14 H21 O2     ,14,21,0,2,0,
154.06,7601403,222.040808,222.040796,-0.012,-0.055,C10 H8 N O5    ,10,8,1,5,0,
57.60,9489691,222.077209,222.077181,-0.027,-0.122,C11 H12 N O4   ,11,12,1,4,0,
-1000.00,3977019,222.113635,222.113567,-0.068,-0.307,C12 H16 N O3   ,12,16,1,3,0,
-1000.00,2935367,223.007001,223.007053,0.052,0.233,C10 H7 O4 S    ,10,7,0,4,1,
-1000.00,4781143,223.024827,223.024812,-0.016,-0.071,C10 H7 O6      ,10,7,0,6,0,
298.07,18151542,223.061184,223.061197,0.013,0.057,C11 H11 O5     ,11,11,0,5,0,
628.38,3154042,223.064588,223.064568,-0.020,-0.091,C8 H15 O5 S    ,8,15,0,5,1,
