mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
607.70,19528764,305.087782,305.087806,0.024,0.078,C12 H17 O9     ,12,17,0,9,0,
647.01,6044740,305.097506,305.097189,-0.318,-1.041,C23 H13 O      ,23,13,0,1,0,
43.18,40991816,305.103054,305.103062,0.008,0.025,C16 H17 O6     ,16,17,0,6,0,
655.40,10189899,305.106466,305.106433,-0.033,-0.109,C13 H21 O6 S   ,13,21,0,6,1,
56.53,33299556,305.139452,305.139447,-0.004,-0.014,C17 H21 O5     ,17,21,0,5,0,
576.80,4399221,305.160503,305.160577,0.074,0.243,C14 H25 O7     ,14,25,0,7,0,
25.23,11570304,305.175865,305.175833,-0.032,-0.105,C18 H25 O4     ,18,25,0,4,0,
523.02,2948869,306.007717,306.007782,0.065,0.211,C13 H8 N O6 S  ,13,8,1,6,1,
640.13,3685139,306.025471,306.025540,0.069,0.225,C13 H8 N O8    ,13,8,1,8,0,
744.97,3848981,306.028985,306.028911,-0.074,-0.242,C10 H12 N O8 S ,10,12,1,8,1,
147.51,23412526,306.061942,306.061925,-0.017,-0.055,C14 H12 N O7   ,14,12,1,7,0,
638.97,4792114,306.065303,306.065296,-0.007,-0.021,C11 H16 N O7 S ,11,16,1,7,1,
108.87,27090764,306.098319,306.098311,-0.008,-0.026,C15 H16 N O6   ,15,16,1,6,0,
456.32,11296596,306.109555,306.109544,-0.011,-0.036,C14 H16 N3 O5  ,14,16,3,5,0,
724.49,7016284,306.119446,306.119440,-0.006,-0.019,C12 H20 N O8   ,12,20,1,8,0,
531.27,8554343,306.134642,306.134696,0.054,0.176,C16 H20 N O5   ,16,20,1,5,0,
206.13,15646576,306.145913,306.145930,0.017,0.056,C15 H20 N3 O4  ,15,20,3,4,0,
581.61,4151822,307.009596,307.009555,-0.041,-0.132,C13 H7 O9      ,13,7,0,9,0,
680.86,3352080,307.012998,307.012927,-0.071,-0.232,C10 H11 O9 S   ,10,11,0,9,1,
448.43,4510232,307.022588,307.022309,-0.279,-0.908,C21 H7 O S     ,21,7,0,1,1,
668.03,3760677,307.039265,307.039416,0.151,0.490,C13 H11 N2 O5 S,13,11,2,5,1,
107.76,28230186,307.045952,307.045941,-0.011,-0.037,C14 H11 O8     ,14,11,0,8,0,
419.92,17445420,307.049325,307.049312,-0.013,-0.042,C11 H15 O8 S   ,11,15,0,8,1,
722.46,11338290,307.057195,307.057174,-0.021,-0.068,C13 H11 N2 O7  ,13,11,2,7,0,
543.02,8665652,307.059011,307.058695,-0.316,-1.029,C22 H11 S      ,22,11,0,0,1,
789.01,3174966,307.061141,307.061197,0.056,0.182,C18 H11 O5     ,18,11,0,5,0,
765.98,7584321,307.075817,307.075802,-0.015,-0.049,C14 H15 N2 O4 S,14,15,2,4,1,
266.51,54035012,307.082345,307.082326,-0.019,-0.061,C15 H15 O7     ,15,15,0,7,0,
537.98,13611592,307.085686,307.085698,0.012,0.038,C12 H19 O7 S   ,12,19,0,7,1,
691.96,30392910,307.093543,307.093560,0.017,0.054,C14 H15 N2 O6  ,14,15,2,6,0,
8.42,64799332,307.118728,307.118712,-0.016,-0.053,C16 H19 O6     ,16,19,0,6,0,
230.76,16364139,307.129901,307.129945,0.044,0.145,C15 H19 N2 O5  ,15,19,2,5,0,
742.11,14430833,307.137322,307.137339,0.017,0.056,C17 H23 O3 S   ,17,23,0,3,1,
16.35,64078464,307.155096,307.155097,0.001,0.003,C17 H23 O5     ,17,23,0,5,0,
772.66,4690567,307.166341,307.166331,-0.010,-0.032,C16 H23 N2 O4  ,16,23,2,4,0,
-1000.00,10322587,307.191474,307.191483,0.009,0.030,C18 H27 O4     ,18,27,0,4,0,
617.38,4812064,308.023325,308.023432,0.107,0.347,C13 H10 N O6 S ,13,10,1,6,1,
495.86,12621102,308.041188,308.041190,0.002,0.006,C13 H10 N O8   ,13,10,1,8,0,
527.58,2939192,308.054172,308.053944,-0.228,-0.740,C21 H10 N S    ,21,10,1,0,1,
136.25,35177804,308.077595,308.077575,-0.019,-0.063,C14 H14 N O7   ,14,14,1,7,0,
305.91,3264845,308.080941,308.080946,0.006,0.019,C11 H18 N O7 S ,11,18,1,7,1,
662.56,14570835,308.088806,308.088809,0.003,0.009,C13 H14 N3 O6  ,13,14,3,6,0,
476.95,23618918,308.113978,308.113961,-0.018,-0.057,C15 H18 N O6   ,15,18,1,6,0,
701.22,11867503,308.125165,308.125194,0.029,0.094,C14 H18 N3 O5  ,14,18,3,5,0,
69.46,10598428,309.007449,309.007447,-0.002,-0.005,C13 H9 O7 S    ,13,9,0,7,1,
172.74,12159018,309.025216,309.025205,-0.010,-0.033,C13 H9 O9      ,13,9,0,9,0,
761.69,4767795,309.036457,309.036439,-0.018,-0.058,C12 H9 N2 O8   ,12,9,2,8,0,
656.12,4076596,309.038183,309.037959,-0.224,-0.725,C21 H9 O S     ,21,9,0,1,1,
741.56,7632950,309.040438,309.040462,0.024,0.078,C17 H9 O6      ,17,9,0,6,0,
93.83,49170500,309.061578,309.061591,0.013,0.041,C14 H13 O8     ,14,13,0,8,0,
237.75,12392520,309.064908,309.064962,0.055,0.177,C11 H17 O8 S   ,11,17,0,8,1,
718.26,24586318,309.072798,309.072824,0.027,0.086,C13 H13 N2 O7  ,13,13,2,7,0,
676.08,6837328,309.074626,309.074345,-0.281,-0.910,C22 H13 S      ,22,13,0,0,1,
734.19,5944402,309.076845,309.076847,0.002,0.008,C18 H13 O5     ,18,13,0,5,0,
637.90,45402196,309.080229,309.080218,-0.011,-0.034,C15 H17 O5 S   ,15,17,0,5,1,
9.44,92506208,309.097954,309.097976,0.023,0.073,C15 H17 O7     ,15,17,0,7,0,
795.08,6959205,309.101188,309.101348,0.159,0.515,C12 H21 O7 S   ,12,21,0,7,1,
714.48,33269866,309.109206,309.109210,0.004,0.013,C14 H17 N2 O6  ,14,17,2,6,0,
749.80,4479086,309.113230,309.113233,0.003,0.010,C19 H17 O4     ,19,17,0,4,0,
8.44,90441856,309.134340,309.134362,0.022,0.071,C16 H21 O6     ,16,21,0,6,0,
749.28,11585671,309.145637,309.145595,-0.041,-0.134,C15 H21 N2 O5  ,15,21,2,5,0,
593.66,41535628,309.153006,309.152989,-0.016,-0.053,C17 H25 O3 S   ,17,25,0,3,1,
9.93,42043548,309.170714,309.170747,0.033,0.107,C17 H25 O5     ,17,25,0,5,0,
-1000.00,5935287,309.207100,309.207133,0.033,0.107,C18 H29 O4     ,18,29,0,4,0,
-1000.00,3148577,310.002810,310.002696,-0.114,-0.367,C12 H8 N O7 S  ,12,8,1,7,1,
594.41,12008253,310.039100,310.039082,-0.018,-0.058,C13 H12 N O6 S ,13,12,1,6,1,
101.83,22637388,310.056835,310.056840,0.005,0.015,C13 H12 N O8   ,13,12,1,8,0,
699.96,4148046,310.060155,310.060211,0.056,0.181,C10 H16 N O8 S ,10,16,1,8,1,
734.48,3287895,310.072058,310.072096,0.038,0.124,C17 H12 N O5   ,17,12,1,5,0,
732.01,35072872,310.093220,310.093225,0.005,0.017,C14 H16 N O7   ,14,16,1,7,0,
725.01,13745008,310.104448,310.104459,0.011,0.036,C13 H16 N3 O6  ,13,16,3,6,0,
459.26,14728068,310.129613,310.129611,-0.002,-0.007,C15 H20 N O6   ,15,20,1,6,0,
689.95,11021196,310.140837,310.140844,0.008,0.024,C14 H20 N3 O5  ,14,20,3,5,0,
-1000.00,2960926,310.986692,310.986712,0.020,0.063,C12 H7 O8 S    ,12,7,0,8,1,
626.88,4320824,311.019774,311.019726,-0.047,-0.152,C16 H7 O7      ,16,7,0,7,0,
157.41,16805434,311.023110,311.023097,-0.012,-0.040,C13 H11 O7 S   ,13,11,0,7,1,
679.37,6637124,311.034362,311.034331,-0.031,-0.100,C12 H11 N2 O6 S,12,11,2,6,1,
673.90,2806854,311.038237,311.038353,0.117,0.375,C17 H11 O4 S   ,17,11,0,4,1,
137.41,25833032,311.040836,311.040856,0.019,0.062,C13 H11 O9     ,13,11,0,9,0,
292.86,11296331,311.044151,311.044227,0.075,0.242,C10 H15 O9 S   ,10,15,0,9,1,
766.23,6948433,311.052104,311.052089,-0.015,-0.047,C12 H11 N2 O8  ,12,11,2,8,0,
646.18,6989396,311.056090,311.056112,0.022,0.069,C17 H11 O6     ,17,11,0,6,0,
635.16,26635862,311.059509,311.059483,-0.026,-0.083,C14 H15 O6 S   ,14,15,0,6,1,
38.78,101027432,311.077212,311.077241,0.030,0.095,C14 H15 O8     ,14,15,0,8,0,
729.83,30101102,311.088489,311.088474,-0.015,-0.048,C13 H15 N2 O7  ,13,15,2,7,0,
693.10,6540911,311.090333,311.089995,-0.338,-1.086,C22 H15 S      ,22,15,0,0,1,
1.16,522555008,311.095891,311.095868,-0.022,-0.071,C15 H19 O5 S   ,15,19,0,5,1,
33.98,126717568,311.113595,311.113627,0.031,0.101,C15 H19 O7     ,15,19,0,7,0,
706.78,29830794,311.124878,311.124860,-0.018,-0.058,C14 H19 N2 O6  ,14,19,2,6,0,
29.55,66637468,311.149986,311.150012,0.026,0.084,C16 H23 O6     ,16,23,0,6,0,
743.03,5508774,311.161336,311.161245,-0.090,-0.290,C15 H23 N2 O5  ,15,23,2,5,0,
381.94,40816300,311.168665,311.168639,-0.026,-0.083,C17 H27 O3 S   ,17,27,0,3,1,
