mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
249.89,5949215,222.077225,222.077181,-0.044,-0.197,C11 H12 N O4   ,11,12,1,4,0,
-1000.00,3654463,222.113540,222.113567,0.027,0.120,C12 H16 N O3   ,12,16,1,3,0,
555.35,2315870,223.007075,223.007053,-0.022,-0.097,C10 H7 O4 S    ,10,7,0,4,1,
-1000.00,8359534,223.024820,223.024812,-0.009,-0.039,C10 H7 O6      ,10,7,0,6,0,
207.16,14395023,223.061201,223.061197,-0.004,-0.016,C11 H11 O5     ,11,11,0,5,0,
277.88,7121554,223.064576,223.064568,-0.008,-0.037,C8 H15 O5 S    ,8,15,0,5,1,
721.72,3929241,223.072473,223.072430,-0.043,-0.191,C10 H11 N2 O4  ,10,11,2,4,0,
-1000.00,13055663,223.097575,223.097583,0.008,0.035,C12 H15 O4     ,12,15,0,4,0,
-1000.00,3170000,223.134057,223.133968,-0.088,-0.396,C13 H19 O3     ,13,19,0,3,0,
701.27,2205147,224.002367,224.002302,-0.065,-0.291,C9 H6 N O4 S   ,9,6,1,4,1,
424.42,3237867,224.020210,224.020060,-0.149,-0.665,C9 H6 N O6     ,9,6,1,6,0,
144.21,10332683,224.056463,224.056446,-0.017,-0.075,C10 H10 N O5   ,10,10,1,5,0,
-1000.00,6633004,224.092820,224.092832,0.012,0.053,C11 H14 N O4   ,11,14,1,4,0,
689.36,2438495,225.004049,225.004076,0.027,0.121,C9 H5 O7       ,9,5,0,7,0,
-1000.00,9188736,225.040480,225.040462,-0.018,-0.081,C10 H9 O6      ,10,9,0,6,0,
758.95,3345802,225.051749,225.051695,-0.054,-0.240,C9 H9 N2 O5    ,9,9,2,5,0,
16.12,16401825,225.076884,225.076847,-0.037,-0.165,C11 H13 O5     ,11,13,0,5,0,
762.89,3404203,225.088062,225.088080,0.019,0.084,C10 H13 N2 O4  ,10,13,2,4,0,
51.86,14087617,225.113231,225.113233,0.002,0.008,C12 H17 O4     ,12,17,0,4,0,
620.74,6937857,226.035725,226.035711,-0.015,-0.066,C9 H8 N O6     ,9,8,1,6,0,
740.50,2231068,226.065459,226.065571,0.112,0.494,C9 H12 N3 O2 S ,9,12,3,2,1,
515.31,7014690,226.072092,226.072096,0.004,0.016,C10 H12 N O5   ,10,12,1,5,0,
432.00,2660969,227.001951,227.001968,0.017,0.076,C9 H7 O5 S     ,9,7,0,5,1,
274.65,16161930,227.038357,227.038353,-0.004,-0.016,C10 H11 O4 S   ,10,11,0,4,1,
7.92,24947866,227.056149,227.056112,-0.037,-0.164,C10 H11 O6     ,10,11,0,6,0,
790.11,2419876,227.067292,227.067345,0.053,0.235,C9 H11 N2 O5   ,9,11,2,5,0,
730.64,7259307,227.074745,227.074739,-0.006,-0.027,C11 H15 O3 S   ,11,15,0,3,1,
717.04,2120885,227.085797,227.085972,0.175,0.772,C10 H15 N2 O2 S,10,15,2,2,1,
46.68,25636026,227.092488,227.092497,0.009,0.041,C11 H15 O5     ,11,15,0,5,0,
-1000.00,12528860,227.128925,227.128883,-0.042,-0.187,C12 H19 O4     ,12,19,0,4,0,
662.20,2471950,228.033705,228.033602,-0.103,-0.450,C9 H10 N O4 S  ,9,10,1,4,1,
617.89,5682206,228.051398,228.051361,-0.037,-0.162,C9 H10 N O6    ,9,10,1,6,0,
-1000.00,3640383,228.087833,228.087746,-0.087,-0.382,C10 H14 N O5   ,10,14,1,5,0,
28.21,35292040,229.017638,229.017618,-0.020,-0.089,C9 H9 O5 S     ,9,9,0,5,1,
-1000.00,3718567,229.050591,229.050632,0.041,0.180,C13 H9 O4      ,13,9,0,4,0,
504.77,13364138,229.054022,229.054003,-0.018,-0.080,C10 H13 O4 S   ,10,13,0,4,1,
7.88,40936380,229.071750,229.071762,0.011,0.049,C10 H13 O6     ,10,13,0,6,0,
765.60,2317509,229.082929,229.082995,0.066,0.287,C9 H13 N2 O5   ,9,13,2,5,0,
35.16,15340507,229.108173,229.108147,-0.026,-0.112,C11 H17 O5     ,11,17,0,5,0,
-1000.00,5420029,229.144536,229.144533,-0.004,-0.016,C12 H21 O4     ,12,21,0,4,0,
-1000.00,2397456,230.012879,230.012867,-0.012,-0.053,C8 H8 N O5 S   ,8,8,1,5,1,
689.22,2231598,230.045817,230.045881,0.065,0.281,C12 H8 N O4    ,12,8,1,4,0,
688.73,2702641,230.049281,230.049252,-0.028,-0.122,C9 H12 N O4 S  ,9,12,1,4,1,
353.90,5771074,230.067036,230.067011,-0.026,-0.112,C9 H12 N O6    ,9,12,1,6,0,
448.15,2724195,230.103489,230.103396,-0.093,-0.405,C10 H16 N O5   ,10,16,1,5,0,
480.85,3023502,230.996892,230.996883,-0.009,-0.039,C8 H7 O6 S     ,8,7,0,6,1,
370.47,2816684,231.029762,231.029897,0.135,0.586,C12 H7 O5      ,12,7,0,5,0,
233.57,7253679,231.033283,231.033268,-0.015,-0.066,C9 H11 O5 S    ,9,11,0,5,1,
238.18,4068045,231.066344,231.066282,-0.062,-0.267,C13 H11 O4     ,13,11,0,4,0,
27.81,18995936,231.087404,231.087412,0.008,0.033,C10 H15 O6     ,10,15,0,6,0,
-1000.00,5096194,231.123835,231.123797,-0.038,-0.163,C11 H19 O5     ,11,19,0,5,0,
519.92,2337845,232.025114,232.025146,0.032,0.139,C11 H6 N O5    ,11,6,1,5,0,
195.92,6793784,232.028525,232.028517,-0.008,-0.037,C8 H10 N O5 S  ,8,10,1,5,1,
544.00,4539991,232.061578,232.061531,-0.046,-0.199,C12 H10 N O4   ,12,10,1,4,0,
660.30,2126681,232.064900,232.064903,0.002,0.009,C9 H14 N O4 S  ,9,14,1,4,1,
646.59,2533994,232.082667,232.082661,-0.007,-0.029,C9 H14 N O6    ,9,14,1,6,0,
-1000.00,2359193,232.978668,232.978649,-0.018,-0.079,C3 H5 O12      ,3,5,0,12,0,
381.55,3234229,233.009181,233.009161,-0.020,-0.086,C11 H5 O6      ,11,5,0,6,0,
146.14,8538552,233.012570,233.012533,-0.038,-0.162,C8 H9 O6 S     ,8,9,0,6,1,
-1000.00,7619030,233.045564,233.045547,-0.017,-0.074,C12 H9 O5      ,12,9,0,5,0,
686.63,5253593,233.048945,233.048918,-0.027,-0.116,C9 H13 O5 S    ,9,13,0,5,1,
736.65,3065824,233.056771,233.056780,0.010,0.041,C11 H9 N2 O4   ,11,9,2,4,0,
272.41,7107049,233.066695,233.066676,-0.018,-0.079,C9 H13 O7      ,9,13,0,7,0,
-1000.00,9636343,233.081921,233.081932,0.011,0.048,C13 H13 O4     ,13,13,0,4,0,
-1000.00,7514618,233.085299,233.085304,0.004,0.019,C10 H17 O4 S   ,10,17,0,4,1,
-1000.00,5620235,233.103109,233.103062,-0.048,-0.204,C10 H17 O6     ,10,17,0,6,0,
-1000.00,3739160,233.118294,233.118318,0.024,0.105,C14 H17 O3     ,14,17,0,3,0,
172.57,8237626,233.154720,233.154703,-0.016,-0.069,C15 H21 O2     ,15,21,0,2,0,
-1000.00,2171227,234.034683,234.034923,0.240,1.025,C18 H4 N       ,18,4,1,0,0,
670.02,4326753,234.040864,234.040796,-0.068,-0.293,C11 H8 N O5    ,11,8,1,5,0,
-1000.00,3280258,234.077157,234.077181,0.025,0.106,C12 H12 N O4   ,12,12,1,4,0,
-1000.00,8841442,235.024797,235.024812,0.014,0.060,C11 H7 O6      ,11,7,0,6,0,
-1000.00,3975909,235.028129,235.028183,0.054,0.230,C8 H11 O6 S    ,8,11,0,6,1,
390.43,17680626,235.043446,235.043439,-0.007,-0.029,C12 H11 O3 S   ,12,11,0,3,1,
23.85,14932227,235.061239,235.061197,-0.042,-0.179,C12 H11 O5     ,12,11,0,5,0,
292.91,8028422,235.064583,235.064568,-0.015,-0.062,C9 H15 O5 S    ,9,15,0,5,1,
