mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
-1000.00,5311438,218.103446,218.103396,-0.050,-0.228,C9 H16 N O5    ,9,16,1,5,0,
-1000.00,9195261,218.996878,218.996883,0.004,0.021,C7 H7 O6 S     ,7,7,0,6,1,
-1000.00,8037150,219.033290,219.033268,-0.022,-0.102,C8 H11 O5 S    ,8,11,0,5,1,
417.73,4967228,219.066337,219.066282,-0.055,-0.250,C12 H11 O4     ,12,11,0,4,0,
587.41,2365247,219.069791,219.069654,-0.137,-0.625,C9 H15 O4 S    ,9,15,0,4,1,
479.50,4051279,219.087368,219.087412,0.043,0.198,C9 H15 O6      ,9,15,0,6,0,
-1000.00,2882417,219.123718,219.123797,0.079,0.360,C10 H19 O5     ,10,19,0,5,0,
-1000.00,2625192,220.025113,220.025146,0.033,0.148,C10 H6 N O5    ,10,6,1,5,0,
218.30,7198410,220.061538,220.061531,-0.007,-0.031,C11 H10 N O4   ,11,10,1,4,0,
567.02,2297549,220.064902,220.064903,0.001,0.003,C8 H14 N O4 S  ,8,14,1,4,1,
-1000.00,3357419,220.097903,220.097917,0.014,0.064,C12 H14 N O3   ,12,14,1,3,0,
373.85,3355182,221.009246,221.009161,-0.085,-0.383,C10 H5 O6      ,10,5,0,6,0,
552.95,2148401,221.012519,221.012533,0.013,0.061,C7 H9 O6 S     ,7,9,0,6,1,
585.50,4530744,221.020399,221.020395,-0.004,-0.019,C9 H5 N2 O5    ,9,5,2,5,0,
-1000.00,8916559,221.045569,221.045547,-0.022,-0.100,C11 H9 O5      ,11,9,0,5,0,
154.39,6656594,221.048958,221.048918,-0.039,-0.178,C8 H13 O5 S    ,8,13,0,5,1,
713.24,3253849,221.056833,221.056780,-0.053,-0.240,C10 H9 N2 O4   ,10,9,2,4,0,
72.77,8595056,221.081955,221.081932,-0.023,-0.104,C12 H13 O4     ,12,13,0,4,0,
-1000.00,2975890,221.118341,221.118318,-0.023,-0.103,C13 H17 O3     ,13,17,0,3,0,
-1000.00,4497587,221.154721,221.154703,-0.017,-0.077,C14 H21 O2     ,14,21,0,2,0,
-1000.00,4690401,222.040788,222.040796,0.008,0.037,C10 H8 N O5    ,10,8,1,5,0,
-1000.00,6640130,222.077204,222.077181,-0.023,-0.102,C11 H12 N O4   ,11,12,1,4,0,
-1000.00,5655076,222.113611,222.113567,-0.044,-0.197,C12 H16 N O3   ,12,16,1,3,0,
165.51,5675370,223.024817,223.024812,-0.006,-0.025,C10 H7 O6      ,10,7,0,6,0,
534.64,2163565,223.028209,223.028183,-0.026,-0.117,C7 H11 O6 S    ,7,11,0,6,1,
149.75,12027275,223.061177,223.061197,0.020,0.089,C11 H11 O5     ,11,11,0,5,0,
667.06,5278095,223.064616,223.064568,-0.048,-0.215,C8 H15 O5 S    ,8,15,0,5,1,
663.41,5826966,223.072438,223.072430,-0.008,-0.034,C10 H11 N2 O4  ,10,11,2,4,0,
-1000.00,9940397,223.097581,223.097583,0.001,0.005,C12 H15 O4     ,12,15,0,4,0,
-1000.00,3947447,223.108831,223.108816,-0.015,-0.068,C11 H15 N2 O3  ,11,15,2,3,0,
-1000.00,4467151,223.134048,223.133968,-0.080,-0.360,C13 H19 O3     ,13,19,0,3,0,
520.61,2489583,224.002471,224.002302,-0.169,-0.755,C9 H6 N O4 S   ,9,6,1,4,1,
523.75,12441889,224.056458,224.056446,-0.012,-0.054,C10 H10 N O5   ,10,10,1,5,0,
16.67,23464258,224.092821,224.092832,0.011,0.048,C11 H14 N O4   ,11,14,1,4,0,
-1000.00,7232685,225.040480,225.040462,-0.018,-0.082,C10 H9 O6      ,10,9,0,6,0,
489.87,2164405,225.049248,225.049193,-0.055,-0.246,C13 H9 N2 S    ,13,9,2,0,1,
655.23,6301879,225.051695,225.051695,0.000,0.000,C9 H9 N2 O5    ,9,9,2,5,0,
-1000.00,2447547,225.055647,225.055718,0.070,0.313,C14 H9 O3      ,14,9,0,3,0,
-1000.00,13591758,225.076882,225.076847,-0.035,-0.155,C11 H13 O5     ,11,13,0,5,0,
-1000.00,2131154,225.080342,225.080218,-0.123,-0.548,C8 H17 O5 S    ,8,17,0,5,1,
646.68,8026329,225.088097,225.088080,-0.016,-0.072,C10 H13 N2 O4  ,10,13,2,4,0,
9.98,18550000,225.113243,225.113233,-0.010,-0.045,C12 H17 O4     ,12,17,0,4,0,
-1000.00,2700050,225.149550,225.149618,0.068,0.301,C13 H21 O3     ,13,21,0,3,0,
534.05,2420276,226.017857,226.017952,0.095,0.420,C9 H8 N O4 S   ,9,8,1,4,1,
598.57,7923781,226.035698,226.035711,0.013,0.056,C9 H8 N O6     ,9,8,1,6,0,
-1000.00,16769126,226.072098,226.072096,-0.002,-0.009,C10 H12 N O5   ,10,12,1,5,0,
70.41,9490568,226.108540,226.108482,-0.058,-0.257,C11 H16 N O4   ,11,16,1,4,0,
-1000.00,3634627,227.002028,227.001968,-0.060,-0.263,C9 H7 O5 S     ,9,7,0,5,1,
226.59,15705060,227.038339,227.038353,0.014,0.062,C10 H11 O4 S   ,10,11,0,4,1,
-1000.00,14130165,227.056140,227.056112,-0.029,-0.127,C10 H11 O6     ,10,11,0,6,0,
707.77,5784575,227.067339,227.067345,0.006,0.027,C9 H11 N2 O5   ,9,11,2,5,0,
98.93,16397334,227.092483,227.092497,0.014,0.061,C11 H15 O5     ,11,15,0,5,0,
691.91,5081121,227.103723,227.103731,0.007,0.032,C10 H15 N2 O4  ,10,15,2,4,0,
23.28,22254648,227.128901,227.128883,-0.018,-0.080,C12 H19 O4     ,12,19,0,4,0,
-1000.00,3642205,227.997207,227.997217,0.010,0.042,C8 H6 N O5 S   ,8,6,1,5,1,
528.97,5836670,228.033625,228.033602,-0.022,-0.098,C9 H10 N O4 S  ,9,10,1,4,1,
268.39,12445583,228.051361,228.051361,-0.001,-0.003,C9 H10 N O6    ,9,10,1,6,0,
12.34,16971696,228.087773,228.087746,-0.027,-0.118,C10 H14 N O5   ,10,14,1,5,0,
-1000.00,4627410,228.124123,228.124132,0.008,0.036,C11 H18 N O4   ,11,18,1,4,0,
-1000.00,13867790,229.017625,229.017618,-0.007,-0.029,C9 H9 O5 S     ,9,9,0,5,1,
636.07,6535970,229.038754,229.038747,-0.006,-0.027,C6 H13 O7 S    ,6,13,0,7,1,
780.37,2176297,229.046810,229.046610,-0.200,-0.875,C8 H9 N2 O6    ,8,9,2,6,0,
118.38,20499264,229.071754,229.071762,0.007,0.032,C10 H13 O6     ,10,13,0,6,0,
752.64,2807627,229.082954,229.082995,0.041,0.177,C9 H13 N2 O5   ,9,13,2,5,0,
36.62,15170402,229.108171,229.108147,-0.023,-0.102,C11 H17 O5     ,11,17,0,5,0,
633.41,4047725,229.119441,229.119381,-0.060,-0.264,C10 H17 N2 O4  ,10,17,2,4,0,
83.65,15928196,229.144521,229.144533,0.012,0.050,C12 H21 O4     ,12,21,0,4,0,
-1000.00,2213286,229.180868,229.180918,0.050,0.220,C13 H25 O3     ,13,25,0,3,0,
-1000.00,9326249,230.012872,230.012867,-0.005,-0.024,C8 H8 N O5 S   ,8,8,1,5,1,
579.03,5850827,230.049231,230.049252,0.022,0.095,C9 H12 N O4 S  ,9,12,1,4,1,
207.11,7980764,230.067028,230.067011,-0.018,-0.076,C9 H12 N O6    ,9,12,1,6,0,
675.82,3657962,230.082284,230.082267,-0.017,-0.074,C13 H12 N O3   ,13,12,1,3,0,
71.39,10931965,230.103395,230.103396,0.001,0.004,C10 H16 N O5   ,10,16,1,5,0,
-1000.00,2464315,230.169442,230.169642,0.200,0.869,C11 H24 N3 S   ,11,24,3,0,1,
-1000.00,6062651,230.996839,230.996883,0.044,0.190,C8 H7 O6 S     ,8,7,0,6,1,
-1000.00,14398044,231.033277,231.033268,-0.009,-0.041,C9 H11 O5 S    ,9,11,0,5,1,
-1000.00,2848871,231.044503,231.044501,-0.001,-0.005,C8 H11 N2 O4 S ,8,11,2,4,1,
213.03,10349165,231.051041,231.051026,-0.015,-0.065,C9 H11 O7      ,9,11,0,7,0,
-1000.00,3247227,231.066332,231.066282,-0.050,-0.216,C13 H11 O4     ,13,11,0,4,0,
99.63,17818254,231.087408,231.087412,0.003,0.015,C10 H15 O6     ,10,15,0,6,0,
-1000.00,7067312,231.123800,231.123797,-0.003,-0.011,C11 H19 O5     ,11,19,0,5,0,
130.51,8295928,232.028504,232.028517,0.013,0.058,C8 H10 N O5 S  ,8,10,1,5,1,
497.59,5249559,232.061544,232.061531,-0.012,-0.053,C12 H10 N O4   ,12,10,1,4,0,
522.57,4783658,232.082681,232.082661,-0.020,-0.086,C9 H14 N O6    ,9,14,1,6,0,
641.01,2658104,232.097972,232.097917,-0.055,-0.238,C13 H14 N O3   ,13,14,1,3,0,
257.09,6504012,232.119037,232.119046,0.009,0.040,C10 H18 N O5   ,10,18,1,5,0,
