mSigma,Observed Intens,Observed m/z,calc. m/z,err mDa,err ppm,sum formula,C,H,N,O,S,
525.46,15371976,224.056467,224.056446,-0.021,-0.092,C10 H10 N O5   ,10,10,1,5,0,
7.75,25562856,224.092814,224.092832,0.018,0.079,C11 H14 N O4   ,11,14,1,4,0,
459.03,2507530,224.128991,224.129217,0.226,1.007,C12 H18 N O3   ,12,18,1,3,0,
-1000.00,5538334,225.004075,225.004076,0.001,0.006,C9 H5 O7       ,9,5,0,7,0,
505.76,2569519,225.022627,225.022703,0.077,0.340,C10 H9 O4 S    ,10,9,0,4,1,
-1000.00,9880127,225.040470,225.040462,-0.008,-0.037,C10 H9 O6      ,10,9,0,6,0,
696.85,5594697,225.051723,225.051695,-0.028,-0.123,C9 H9 N2 O5    ,9,9,2,5,0,
-1000.00,2548301,225.055785,225.055718,-0.067,-0.298,C14 H9 O3      ,14,9,0,3,0,
683.83,2071642,225.070814,225.070974,0.160,0.711,C18 H9         ,18,9,0,0,0,
8.69,21152352,225.076883,225.076847,-0.035,-0.157,C11 H13 O5     ,11,13,0,5,0,
680.95,7850602,225.088125,225.088080,-0.045,-0.198,C10 H13 N2 O4  ,10,13,2,4,0,
8.30,22876800,225.113231,225.113233,0.001,0.006,C12 H17 O4     ,12,17,0,4,0,
-1000.00,2527393,225.149601,225.149618,0.018,0.078,C13 H21 O3     ,13,21,0,3,0,
-1000.00,2341228,225.941391,225.941159,-0.232,-1.027,C2 N3 O8 S     ,2,0,3,8,1,
516.69,2372018,226.017961,226.017952,-0.008,-0.037,C9 H8 N O4 S   ,9,8,1,4,1,
644.21,6383042,226.035692,226.035711,0.018,0.082,C9 H8 N O6     ,9,8,1,6,0,
-1000.00,15734242,226.072094,226.072096,0.002,0.008,C10 H12 N O5   ,10,12,1,5,0,
-1000.00,7808516,226.108503,226.108482,-0.021,-0.095,C11 H16 N O4   ,11,16,1,4,0,
-1000.00,2101017,226.980869,226.980839,-0.031,-0.135,C12 H3 O3 S    ,12,3,0,3,1,
-1000.00,4736300,227.001967,227.001968,0.001,0.006,C9 H7 O5 S     ,9,7,0,5,1,
285.21,18544974,227.038334,227.038353,0.019,0.086,C10 H11 O4 S   ,10,11,0,4,1,
20.28,18041182,227.056120,227.056112,-0.008,-0.037,C10 H11 O6     ,10,11,0,6,0,
757.33,4249960,227.067318,227.067345,0.027,0.117,C9 H11 N2 O5   ,9,11,2,5,0,
12.38,21227902,227.092483,227.092497,0.014,0.061,C11 H15 O5     ,11,15,0,5,0,
750.67,3218825,227.103713,227.103731,0.017,0.076,C10 H15 N2 O4  ,10,15,2,4,0,
11.62,25491872,227.128896,227.128883,-0.013,-0.058,C12 H19 O4     ,12,19,0,4,0,
-1000.00,2667699,227.997207,227.997217,0.010,0.044,C8 H6 N O5 S   ,8,6,1,5,1,
531.18,8103124,228.033617,228.033602,-0.015,-0.065,C9 H10 N O4 S  ,9,10,1,4,1,
544.31,7588069,228.051349,228.051361,0.012,0.053,C9 H10 N O6    ,9,10,1,6,0,
81.47,10480901,228.087769,228.087746,-0.023,-0.099,C10 H14 N O5   ,10,14,1,5,0,
